sku,impacted_quantity
Hotcakes™ with Sausage,3
McWings® (4pc) Upsized Meal,3
Peach McFizz®,3
Coconut Hot Fudge Sundae,3
Family Meal: McSpicy + FOF EVM + ChB HM,3
Quarter Pounder® with Cheese Upsized Meal + Chicken McNuggets® (4pc),3
2xVM - Scrambled Egg Burger Saus + BF Deluxe,3
McSpicy® Upsized Meal + Chicken McNuggets® (4pc),3
Creamy Mushroom Tri Cheeseburger Upsized Meal,3
Crispy Mac 'N Cheesy Wrap (Chicken Ham) Meal,3
Snack Bundle,3
Sausage McGriddles with Egg,3
Double McSpicy®,3
2xVM: CMC (2pc) Signature Meal + McSpicy® Meal,3
Satay Chicken Burger Meal,2
2xVM: Sweet Paprika CMC EVM + McSpicy® EVM,2
Spicy Chicken McNuggets®(6pc) Meal,2
Coke® Original Taste Less Sugar Small,2
Sweet Paprika Chicken McCrispy® (2pc) Meal,2
Chicken Muffin with Egg,2
2xVM - Scrambled Egg Burger Chk + BF Deluxe,2
Caramel Frappé Small,2
Coconut OREO® McFlurry®,2
Caramel Frappé Medium,2
Iced Milo® Small,2
Shaka Shaka Chicken McBites® (9pc) Snack Combo,2
2xVM: Yakiniku Crispy Chicken EVM + McSpicy® EVM,2
Triple Cheeseburger Upsized Meal,2
Coconut Mudpie McFlurry®,2
Spicy Chicken McNuggets® (9pc) Upsized Meal,2
Chicken McCrispy® (2pc) Signature,2
McCafé Iced Latte (No Sugar),2
Double Sausage Egg McMuffin®,2
Chicken McCrispy® (6pc) Honey Soy Bundle,2
Satay Beef Burger Special,2
Sweet Paprika McCrispy® (2pc) Upsized Meal,2
Crispy Chicken Burger with Smoky Sauce Meal,2
Twister Fries™ (M),2
Satay Chicken Burger Upsized Meal,2
Prosperity Twister Fries™ (L),2
Creamy Mushroom Triple Cheeseburger,2
Coke® Original Taste Less Sugar Large,2
Coke® Original Taste Less Sugar Medium,2
Prosperity Twister Fries™ (M),2
Chicken McCrispy® (6pc) Honey Soy,2
Crisscut® Fries (L),2
Iced Lemon Tea Large,1
Satay Chicken Burger,1
Mocha Frappé  With Oreo® Medium,1
Satay Beef Burger Upsized Meal,1
2xVM: McSpicy® EVM + Quarter Pounder® with Cheese EVM,1
McSpicy® Upsized Meal + Apple Pie,1
Chicken McGriddles with Egg,1
Chicken McCrispy® (2pc) Signature Meal,1
McCafé Cappuccino,1
Sprite® Small,1
Triple Cheeseburger Meal,1
Satay Beef Burger Meal,1
Jasmine Green Tea Medium,1
Creamy Mushroom Double Cheeseburger,1
Sweet Paprika Chicken McCrispy® Feast,1
McNuggets® (6pc) Upsized Meal,1
2x Value Meal: 2 Prosperity Chicken LEVM (L Twister Fries),1
2x Value Meal: 2 Prosperity Beef LEVM (L Twister Fries),1
Yakiniku Crispy Chicken Burger,1
Coconut Strawberry Sundae,1
Thai Milk Tea Frappé Small,1
Thai Milk Tea Frappé Medium,1
Double Prosperity Beef Upsized Meal,1
Spicy Chicken McNuggets®(9pc) Meal,1
Double Sausage McMuffin®,1
Chicken McCrispy® Mix (6pc) Value Bundle,1
Chicken McCrispy® (2pc) Signature Upsized Meal,1
Sweet Paprika Chicken Burger,1
Double Chocolate Frappé Small,1
Iced Lemon Tea Small,1
Crispy Mac 'N Cheesy Wrap (Sausage),1
Yakiniku Crispy Chicken Meal,1
